,Title,Published_date,Views,Likes,Comments,Month
0,Exploratory Data Analysis in Pandas | Python Pandas Tutorials,2023-06-06,6968,240,17,Jun
1,Data Analyst Q/A Livestream | May Livestream | Ask Me Anything!,2023-05-30,8432,333,22,May
2,What is Microsoft Fabric? | New Data Analytics Platform!,2023-05-29,68282,2194,96,May
3,Data Cleaning in Pandas | Python Pandas Tutorials,2023-05-23,13764,504,46,May
4,The Ultimate Data Analytics Career Plan for 2023 | CareerFoundry Webinar,2023-05-16,26936,1029,36,May
5,State of AI in Analytics | Will AI be the End of Data Analysts?,2023-05-15,29768,951,300,May
6,Google Bard Got An Upgrade! + Google's New AI Announcements!,2023-05-12,31066,764,84,May
7,Creating Visualizations using Pandas Library | Python Pandas Tutorials,2023-05-09,11793,263,11,May
8,Merging DataFrames in Pandas | Python Pandas Tutorials,2023-05-02,7539,214,13,May
9,Data Analyst Q/A Livestream | April Livestream | Ask Me Anything!,2023-04-27,9064,327,26,Apr
10,How to Integrate ChatGPT in Jupyter Notebooks for Free!,2023-04-25,21582,658,35,Apr
11,7 Ways to Use ChatGPT for Analytics | Webinar,2023-04-18,30002,915,33,Apr
12,Google Business Intelligence Professional Certification Review,2023-04-18,22705,718,58,Apr
13,Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?,2023-04-10,103826,3092,321,Apr
14,Group By and Aggregate Functions in Pandas | Python Pandas Tutorials,2023-04-04,7757,237,16,Apr
15,Top 5 Biggest Mistakes Beginner Data Analysts Make,2023-03-28,31115,1493,81,Mar
16,Indexes in Pandas | Python Pandas Tutorials,2023-03-21,8020,220,17,Mar
17,Create the Perfect Data Analyst Resume | Free Templates!,2023-03-14,53033,2019,141,Mar
18,Filtering Columns and Rows in Pandas | Python Pandas Tutorials,2023-03-07,12012,322,31,Mar
19,Data Analyst Q/A Livestream | March Livestream | Ask Me Anything!,2023-03-02,10833,397,33,Mar
20,Reading in Files in Pandas | Python Pandas Tutorials,2023-02-28,15172,404,30,Feb
21,Building an Automated File Sorter in File Explorer using Python | Python Projects for Beginners,2023-02-21,15023,411,38,Feb
22,ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset,2023-02-14,358298,7216,221,Feb
23,FREE Data Analyst Bootcamp!!,2023-02-07,329892,16362,943,Feb
24,How to Become a Data Analyst in 2023 (Completely FREE!),2023-01-31,428830,17944,616,Jan
25,Live Portfolio Review with Alex the Analyst!  | Live Webinar,2023-01-25,14956,569,20,Jan
26,DIY Data Analyst Curriculum using Udemy (Under $75),2023-01-24,24936,1025,102,Jan
27,Reviewing Maven Analytics Free Portfolio Website,2023-01-17,17314,577,42,Jan
28,5 Study Hacks for Beginner Data Analysts! | Live Webinar,2023-01-16,37077,1177,34,Jan
29,DIY Data Analyst Curriculum using Coursera in 2023,2023-01-10,46967,2440,221,Jan
30,Building a BMI Calculator with Python | Python Projects for Beginners,2023-01-03,19364,474,39,Jan
31,"Reading, Writing, and Appending Files in Python | Python for Beginners",2022-12-27,4752,179,10,Dec
32,Why I Quit my 125k Analytics Job,2022-12-20,136333,7770,827,Dec
33,Data Analyst Q/A Livestream + Special Guest! | December Livestream,2022-12-17,4929,164,16,Dec
34,Converting Data Types in Python | Python for Beginners,2022-12-13,9811,329,21,Dec
35,Functions in Python | Python for Beginners,2022-12-06,11517,405,21,Dec
36,While Loops in Python | Python for Beginners,2022-11-29,9508,364,14,Nov
37,For Loops in Python | Python for Beginners,2022-11-22,11571,367,18,Nov
38,Data Analyst Q/A Livestream | November Livestream,2022-11-16,6126,201,18,Nov
39,If Else Statements in Python | Python for Beginners,2022-11-15,10298,371,19,Nov
40,"Comparison, Logical, and Membership Operators in Python | Python for Beginners",2022-11-08,10937,385,13,Nov
41,Data Types in Python | Python for Beginners,2022-11-01,20720,624,37,Nov
42,Data Analyst Q/A Livestream | October Livestream,2022-10-31,5592,183,11,Oct
43,Variables in Python | Python for Beginners,2022-10-25,22365,698,35,Oct
44,300k Livestream! | Giveaways for People in Chat | Bring Your Wine,2022-10-19,5215,247,23,Oct
45,Installing Jupyter Notebooks/Anaconda | Python for Beginners,2022-10-18,59000,1364,69,Oct
46,Interviewing Tina Huang | Fellow YouTuber and Data Enthusiast,2022-10-13,8603,309,19,Oct
47,Interviewing Luke Barousse | Arch-Nemesis and Fellow YouTuber,2022-10-11,6724,315,31,Oct
48,When Best Friends Work Together (ft. Luke Barousse),2022-10-04,14274,653,82,Oct
49,Data Analyst Live Stream | Riding out Hurricane Ian,2022-10-01,6560,214,15,Oct
